kguiaddons5 5.116.0-2
kholidays 1:6.23.0-1
ki18n 6.23.0-1
ki18n5 5.116.0-2
kicad 9.0.7-5
kiconthemes 6.23.0-1
kiconthemes5 5.116.0-2
kidletime 6.23.0-1
kimageannotator 0.7.2-1
kio 6.23.0-1
kio5 5.116.0-5
kirigami 6.23.0-1
kirigami-addons 1.11.0-1
kirigami-addons5 0.11.0-7
kirigami2 5.116.0-2
kitemmodels 6.23.0-1
kitemmodels5 5.116.0-1
kitemviews 6.23.0-1
kitemviews5 5.116.0-2
kitty 0.45.0-4
kitty-shell-integration 0.45.0-4
kitty-terminfo 0.45.0-4
kjobwidgets 6.23.0-1
kjobwidgets5 5.116.0-2
kmod 34.2-1
knewstuff 6.23.0-1
knotifications 6.23.0-1
knotifications5 5.116.0-3
knotifyconfig 6.23.0-1
kpackage 6.23.0-1
kpackage5 5.116.0-3
kparts 6.23.0-1
kparts5 5.116.0-2
kpeople 6.23.0-1
kpeople5 5.116.0-1
kpty 6.23.0-1
kpty5 5.116.0-2
kquickcharts 6.23.0-1
krb5 1.21.3-2
krita 5.2.15-1
kservice 6.23.0-1
kservice5 5.116.0-3
kstatusnotifieritem 6.23.0-1
ksvg 6.23.0-1
ktextwidgets 6.23.0-1
ktextwidgets5 5.116.0-2
kunitconversion 6.23.0-1
kwallet 6.23.0-1
kwallet5 5.116.0-5
kwidgetsaddons 6.23.0-1
kwidgetsaddons5 5.116.0-2
kwindowsystem 6.23.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.23.0-1
